,反应物,生成物
20,1.95 Ba(NO3)2 + 0.025 Eu2O3 + 2 H3BO3 + 1 Mg(NO3)2\u00b72H2O + 5.9 [OH-] ,1 Eu0.05Ba1.95Mg(BO3)2 + 7.95 H2O + 0.013 O2 + 5.9 [NO3-]
21,2 Li2CO3 + 5 TiO2 ,1 Li4Ti5O12 + 2 CO2
22,2 (NH4)2HPO4 + 1.6 BaCO3 + 0.4 CaCO3 ,1 Ba1.6Ca0.4P2O7 + 2 CO2 + 3 H2O + 4 NH3 ; target Ba1.6Ca0.4P2O7 with additives Eu via Eu2O3 ; target Ba1.6Ca0.4P2O7 with additives Eu via Eu2O3
23,1 Fe + 1 Li2SiO3 + 0.5 O2 ,1 Li2FeSiO4
24,1 Na2CO3 + 3 TiO2 ,1 Na2Ti3O7 + 1 CO2
25,1 K2CO3 + 4 TiO2 ,1 K2Ti4O9 + 1 CO2
26,1 Cs2CO3 + 5 TiO2 ,1 Cs2Ti5O11 + 1 CO2
27,2 Na2CO3 + 5 TiO2 ,1 Na4Ti5O12 + 2 CO2
28,y Al(NO3)3\u00b79H2O + 0.08-y Co(NO3)2\u00b76H2O + 1.2 LiOH + 0.56 Mn(NO3)2\u00b74H2O + 0.16 Ni(NO3)2\u00b76H2O + 0.3-0.25*y O2 + 1.6+y [OH-] ,1 Li1.2Ni0.16Mn0.56Co0.08-yAlyO2 + 5.08+3.5*y H2O + 1.6+y [NO3-]
29,3 Cu + 2 Mo + 4 MoS2 ,1 Cu3Mo6S8
30,1 Li0.44MnO2 + 0.15 LiNO3 + 0.15 [OH-] ,1 Li0.59MnO2 + 0.075 H2O + 0.038 O2 + 0.15 [NO3-]
31,1 Li0.44MnO2 + 0.33 LiNO3 + 0.33 [OH-] ,1 Li0.77MnO2 + 0.165 H2O + 0.082 O2 + 0.33 [NO3-]
32,1 Li0.44MnO2 + 0.38 LiNO3 + 0.38 [OH-] ,1 Li0.82MnO2 + 0.19 H2O + 0.095 O2 + 0.38 [NO3-]
33,0.98 BaCO3 + 0.01 La2O3 + 1 SnO2 ,1 Ba0.98La0.02SnO3 + 0.98 CO2 + 0.005 O2
34,0.6 Ce(NO3)3\u00b76H2O + 0.1 Fe(NO3)3\u00b79H2O + 0.3 Mn(NO3)2\u00b76H2O + 0.325 O2 + 2.7 [OH-] ,1 Ce0.6Mn0.3Fe0.1O2 + 7.65 H2O + 2.7 [NO3-]
35,1 Fe(NO3)3 + 1 Y(NO3)3 + 6 [OH-] ,1 YFeO3 + 3 H2O + 6 [NO3-]
36,1 BaCO3 + 0.5 Si3N4 + 0.5 SiO2 ,"1 BaSi2O2N2 + 1 CO2 ; target BaSi2O2N2 with additives Eu via (Ba1-xEux)2SiO4, Eu2O3 ; target BaSi2O2N2 with additives Eu via Eu2O3"
37,1-x BaCO3 + 0.5*x Eu2O3 + 0.5 Si3N4 + 0.5 SiO2 ,1 Ba1-xEuxSi2O2N2 + 1-x CO2 + 0.25*x O2
38,1 Nb2O5 + 1 SnO ,1 SnNb2O6
39,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
40,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
41,0.003 O2 + 0.005 Rh2O3 + 1 SrCO3 + 0.99 TiO2 ,1 SrTi0.99Rh0.01O3 + 1 CO2
42,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
43,1 BiOCl + 1 Ca(NO3)2 + 2 [OH-] ,1 CaBiO2Cl + 1 H2O + 2 [NO3-]
44,2 Fe(NO3)3\u00b79H2O + 1 Zn(NO3)2\u00b76H2O + 8 [OH-] ,1 ZnFe2O4 + 28 H2O + 8 [NO3-]
45,1 Cu2O + 1 Nb2O5 ,1 Cu2O-M2O5; M = Nb
46,1 Cu2O + 4 Nb2O5 ,1 Cu2Nb8O21
47,1 Bi2SrNa2Nb4O9 + 3 O2 ,1 Bi2SrNa2Nb4O15
48,4 CdCO3 + 3 H3BO3 + 0.5 Yb2O3 ,1 Cd4YbO(BO3)3 + 4 CO2 + 4.5 H2O
49,2 LiNO3 + 0.5 Mn2O3 + 0.25 O2 + 2 [OH-] ,1 Li2MnO3 + 1 H2O + 2 [NO3-]
50,1 LiOH\u00b7H2O + 1 Ni1/3Co1/3Mn1/3(OH)2 + 0.25 O2 ,1 LiNi1/3Co1/3Mn1/3O2 + 2.5 H2O
51,4 CH3COOLi + 5 TiO2 + 4 [OH-] ,1 Li4Ti5O12 + 2 H2O + 4 [CH3COO-]
52,0.727 H2O + -0.727 Mn(CH3COO)2 + 1.227 Na0.44MnO2 + 0.51 TiO2 + 1.455 [CH3COO-] ,1 Na0.54Mn0.50Ti0.51O2 + 0.374 O2 + 1.455 [OH-]
53,z Al(CH3COO)2OH + 1-y-z Co(CH3COO)2 + 1 LiCH3COO + y Ni(CH3COO)2 + 0.25-0.25*z O2 + 3 [OH-] ,1 LiNiyCo1-y-zAlzO2 + 1.5+0.5*z H2O + 3 [CH3COO-]
54,1.3 LiOH\u00b7H2O + 0.65 MnO2 + 0.35 Ni(NO3)2\u00b76H2O + 0.7 [OH-] ,1 0.3Li2MnO3-0.7LiNi0.5Mn0.5O2 + 4.4 H2O + 0.7 [NO3-]
55,0.38 La2O3 + 1 MnO2 + 0.19 SrCO3 ,1 (La0.8Sr0.2)0.95MnO3 + 0.19 CO2 + 0.165 O2
56,6 Al2O3 + 1 SrCO3 ,1 SrAl12O19 + 1 CO2
57,7 Al2O3 + 4 SrCO3 ,1 Sr4Al14O25 + 4 CO2
58,1 Al2O3 + 1 SrCO3 ,1 SrAl2O4 + 1 CO2
59,1 Ba(NO3)2 + 12 Fe(NO3)3\u00b79H2O + 38 [OH-] ,1 BaFe12O19 + 127 H2O + 38 [NO3-]
60,2 K2CO3 + 3 Nb2O5 ,1 K4Nb6O17 + 2 CO2
61,0.5 K2CO3 + 0.5 La2O3 + 1 Nb2O5 ,1 KLaNb2O7 + 0.5 CO2
62,2 CaCO3 + 0.5 Rb2CO3 + 1.5 Ta2O5 ,1 RbCa2Ta3O10 + 2.5 CO2
63,0.5 Li2CO3 + 0.5 Ta2O5 ,1 LiTaO3 + 0.5 CO2
64,0.5 Na2CO3 + 0.5 Ta2O5 ,1 NaTaO3 + 0.5 CO2
65,0.5 K2CO3 + 0.5 Ta2O5 ,1 KTaO3 + 0.5 CO2
66,1 K2CO3 + 2 La(NO3)3 + 72 O2 + 3 Ti(OC4H9)4 + 6 [OH-] ,1 K2La2Ti3O10 + 49 CO2 + 57 H2O + 6 [NO3-]
67,0.5 Cu + 0.5 CuCl2 ,1 CuCl
68,0.5 Mn2O3 + 0.5 Na2CO3 ,1 NaMnO2 + 0.5 CO2
69,1 Zn(CH3COO)2 + 1 ZnSnO3 + 2 [OH-] ,1 Zn2SnO4 + 1 H2O + 2 [CH3COO-]
70,0.5 Na2Ta2O6 ,1 NaTaO3
71,1 MoO3 + 1 ZnCO3 ,1 ZnMoO4 + 1 CO2
72,3 Li2CO3 + 2 ZrO2 ,1 Li6Zr2O7 + 3 CO2
73,2 Ga(NO3)3\u00b7xH2O + 1 Zn(NO3)2\u00b76H2O + 8 [OH-] ,1 ZnGa2O4 + 10+2*x H2O + 8 [NO3-]
74,0.2 Co(NO3)2\u00b76H2O + 0.8 Fe(NO3)3\u00b79H2O + 0.6 La(NO3)3\u00b76H2O + 0.15 O2 + 0.4 Sr(NO3)2 + 5.4 [OH-] ,1 (La0.6Sr0.4)(Co0.2Fe0.8)O3 + 14.7 H2O + 5.4 [NO3-]
75,2 LiNO3 + 1 ZrO(NO3)2\u00b72H2O + 4 [OH-] ,1 Li2ZrO3 + 4 H2O + 4 [NO3-]
76,6 LiNO3 + 2 ZrO(NO3)2\u00b72H2O + 10 [OH-] ,1 Li6Zr2O7 + 9 H2O + 10 [NO3-]
77,1 Co(OH)3 + 2 MnO2 ,1 CoMn2O4 + 1.5 H2O + 0.75 O2
78,1 Cu(NO3)3 + 2 Fe(NO3)3 + 9 [OH-] ,1 CuFe2O4 + 4.5 H2O + 0.25 O2 + 9 [NO3-]
79,0.5 Li2CO3 + 2 MnCO3 + 0.75 O2 ,1 LiMn2O4 + 2.5 CO2
80,2 NH4H2PO4 + 3 NaF + 3 O2 + 1 V2O5 ,1 Na3V2O2(PO4)2F3 + 3 H2O + 2 NH3
81,1 Al(NO3)3\u00b79H2O + 5 LiOH\u00b7H2O + 3 [OH-] ,1 Li5AlO4 + 18 H2O + 3 [NO3-]
82,1 Ga2O3 + 1 ZnO ,1 ZnGa2O4
83,0.5 Fe2O3 + 1 Li2SiO3 ,1 Li2FeSiO4 + 0.25 O2
84,2 Fe(NO3)3\u00b79H2O + 1 NiO + 6 [OH-] ,1 NiO-Fe2O3 + 21 H2O + 6 [NO3-]
85,0.6 BaCO3 + 0.333 Co3O4 + 0.2 La2O3 + 0.233 O2 ,1 Ba0.6La0.4CoO3 + 0.6 CO2
86,2 Na2Ti3O7 + -1 TiO2 ,1 Na4Ti5O12
87,0.5 Na2Ti3O7 + -0.5 TiO2 ,1 NaTiO2 + 0.25 O2
88,1 NdBaMn2O5 + 0.5 O2 ,1 NdBaMn2O6
89,3 NH4H2PO4 + 3 NH4VO3 + 0.5 Na2CO3 ,1 NaV3(PO4)3 + 0.5 CO2 + 6 H2O + 6 NH3 + 1.75 O2
90,1 MoO3 + 1 Na3N ,1 Na3MoO3N
91,1.33-0.667*x LiOH + 0.334+0.334*x Mn2O3 + 0.167-0.334*x O2 ,1 Li(Li1/3-2x/3MxMn2/3-x/3)O2 + 0.665-0.334*x H2O; M = Mn
92,1.33-0.667*x LiOH + 0.334-0.166*x Mn2O3 + x Ni(NO3)2 + 0.167-0.084*x O2 + 2*x [OH-] ,1 Li(Li1/3-2x/3MxMn2/3-x/3)O2 + 0.665+0.666*x H2O + 2*x [NO3-]; M = Ni
93,0.825 Co0.4Mn0.6O2 + 1.06 LiOH + -0.002 Mn2O3 ,1 Li0.88(Li0.18Co0.33Mn0.49)O2 + 0.53 H2O + 0.086 O2
94,1.15 LiOH + 0.3 Mn2O3 + 0.25 Ni(NO3)2 + 0.138 O2 + 0.5 [OH-] ,1 Li(Li0.15Ni0.25Mn0.6)O2 + 0.825 H2O + 0.5 [NO3-]
95,1.3 LiOH + 0.325 Mn2O3 + 0.35 Ni(NO3)2 + 0.162 O2 + 0.7 [OH-] ,1 0.3Li2MnO3-0.7LiNi0.5Mn0.5O2 + 1 H2O + 0.7 [NO3-]
96,1 SrCO3 + 1 TiO2 ,1 SrTiO3 + 1 CO2
97,1 Ge + 2 MgSe + 2 Se ,1 Mg2GeSe4
98,1 GeO2 + 2 Zn(NO3)2\u00b76H2O + 4 [OH-] ,1 Zn2GeO4 + 14 H2O + 4 [NO3-]
99,1 Ti2NbO7 + -1 TiO2 ,1 TiNbO5
100,0.5 O2 + 1 Ti2NbO7 + 3 TiO2 ,1 Ti5NbO14
101,1 HCa2Nb3O10\u00b71.5H2O + 0.25 O2 ,1 Ca2Nb3O10 + 2 H2O
102,0.5 Fe2O3 + 1 LiH2PO4 + 1 NH4H2PO4 ,1 LiFeP2O7 + 2.5 H2O + 1 NH3
103,2 CaCO3 + 1.5 Nb2O5 + 0.25 O2 ,1 Ca2Nb3O10 + 2 CO2
104,3 Ca(OH)2 + 2 H3PO4 ,1 Ca3(PO4)2 + 6 H2O
105,2.86 Ca(OH)2 + 2 H3PO4 + 0.14 Mg(OH)2 ,1 Ca2.86Mg0.14(PO4)2 + 6 H2O
106,1 BiOCl + 1 SeO2 ,1 BiSeO3Cl
107,3 Na2CO3 + 4 TeO2 + 6 WO3 ,1 Na6Te4W6O29 + 3 CO2
108,0.99 LiOH\u00b73H2O + 1 NiOH + 0.502 O2 ,1 Li0.99NiO2 + 3.965 H2O
109,13 BaCO3 + 4 Ni + 4 O2 ,1 R8Ba5Ni4O21 + 13 CO2; R = Ba
110,7 BaCO3 + 1 MoO3 + 2 Nb2O5 ,1 Ba7Nb4MoO20 + 7 CO2
111,2 BaCO3 + 1 CsNO3 + 1.5 Ta2O5 + 1 [OH-] ,1 CsBa2Ta3O10 + 2 CO2 + 0.5 H2O + 1 [NO3-]
112,1 O2 + 2 WO3 + 1 Zr ,1 ZrW2O8
113,8.5 Bi2O3 + 1.5 V2O5 ,1 Bi17V3O33
114,1.5 Al2O3 + 0.5 Nd2O3 ,1 NdAlO3Al2O3
115,0.5 La2O3 + 0.5 Na2CO3 + 1 TiO2 ,1 NaLaTiO4 + 0.5 CO2
116,3 MnCO3 + 2 NH4H2PO4 + 1 Na4P2O7 ,1 Na4M3(PO4)2(P2O7) + 3 CO2 + 3 H2O + 2 NH3; M = Mn
117,3 CoCO3\u00b74H2O + 2 NH4H2PO4 + 1 Na4P2O7 ,1 Na4M3(PO4)2(P2O7) + 3 CO2 + 15 H2O + 2 NH3; M = Co
118,0.667 Fe + 1.333 FePO4 + 0.333 Sr3(PO4)2 ,1 SrFe2(PO4)2
119,0.25 Cr2O3 + 0.25 Fe2O3 + 0.375 La2O3 + 0.062 O2 + 0.25 SrCO3 ,1 La0.75Sr0.25Cr0.5Fe0.5O3 + 0.25 CO2
120,2 Fe(NO3)3\u00b79H2O + 0.5 O2 + 3 Sr(NO3)2 + 12 [OH-] ,1 Sr3Fe2O7 + 24 H2O + 12 [NO3-]
121,1 Li2CO3 + 1 MnCO3 + 0.5 O2 ,1 Li2MnO3 + 2 CO2
122,3.5 Ca2P2O7 + 2 CaCO3 + 0.5 Fe2O3 ,1 Ca9Fe(PO4)7 + 2 CO2
123,1 Bi2CaNb2O9 + 1 NaNbO3 ,1 Bi2ANaNb3O12; A = Ca
124,1 Bi2SrNb2O9 + 1 NaNbO3 ,1 Bi2ANaNb3O12; A = Sr
125,1 Bi2SrNb2O9 + 1 NaNbO3 ,1 Bi2SrNaNb3O12
126,1 Bi2CaNb2O9 + 1 NaNbO3 ,1 Bi2CaNaNb3O12
127,1 Li2CO3 + 1 SiO2 + 1 SrCO3 ,1 Li2SrSiO4 + 2 CO2 ; target Li2SrSiO4 with additives Eu via Eu2O3 ; target Li2SrSiO4 with additives Eu via Eu2O3
128,0.5*x Li2CO3 + 1.5-0.5*x Mn2O3 ,1 LixMn3-xO4 + 0.5*x CO2 + 0.25-0.5*x O2
129,0.333 Co3O4 + 0.5 Li2CO3 + 0.083 O2 ,1 LiCoO2 + 0.5 CO2
130,0.125 Li4Ti5O12 + 0.25 O2 + 0.375 Ti ,1 Li0.5TiO2
131,0.5 K2CO3 + 1 MnO + 0.5 V2O5 ,1 KMnVO4 + 0.5 CO2
132,2 LiOH + 1 MnO(OH) + 0.25 O2 ,1 Li2MnO3 + 1.5 H2O
133,1.06 LiOH + 2 MnO2 ,1 Li1.06Mn2O4 + 0.53 H2O + 0.265 O2
134,2 CaCO3 + 1.5 Nb2O5 + 0.25 O2 ,1 Ca2Nb3O10 + 2 CO2
135,1 BaCO3 + 1 Mn2O3 + 0.5 Y2O3 ,1 BaYMn2O5 + 1 CO2 + 0.25 O2
136,1 CuO + 1-x La2O3 + 0.5*x O2 + 2*x SrCO3 ,1 (La1-xSrx)2CuO4 + 2*x CO2
137,2*x Ce(NO3)3\u00b76H2O + 1 CuO + 1-x Nd2O3 + 6*x [OH-] ,1 (Nd1-xCex)2CuO4 + 15*x H2O + 6*x [NO3-]
138,1 Cu2S + 1 GeS2 + 1 ZnS ,1 Cu2ZnGeS4
139,1 Ag2S + 1 GeS2 + 1 ZnS ,1 Ag2ZnGeS4
140,9 Ag + 1 Fe + 4 S + 2 Te ,1 Ag9FeS4Te2
141,9 Ag + 1 Fe + 4.1 S + 1.9 Te ,1 Ag9FeS4.1Te1.9
142,0.5 Cu(NO3)2\u00b73H2O + 0.5 La2O3 + 0.5 MnCO3 + 0.25 O2 + 1 [OH-] ,1 LaCu0.5Mn0.5O3 + 0.5 CO2 + 2 H2O + 1 [NO3-]
143,1 FeC2O4\u00b72H2O + 0.5 Li2CO3 + 1 NH4H2PO4 + 0.5 O2 ,1 LiFePO4 + 2.5 CO2 + 3.5 H2O + 1 NH3
144,1 (NH4)2HPO4 + 1 FeC2O4\u00b72H2O + 0.5 Li2CO3 + 0.5 O2 ,1 LiFePO4 + 2.5 CO2 + 3.5 H2O + 2 NH3
145,0.2 Bi2Ti4O11 + 0.4 Bi4Ti3O12 ,1 Bi2Ti2O7
146,0.5*y Al2O3 + 0.5 Li2CO3 + 1-0.5*y Mn2O3 + 0.25 O2 ,1 LiMn2-yMyO4 + 0.5 CO2; M = Al
147,0.5 Li2CO3 + 1-0.5*y Mn2O3 + y NiO + 0.25+0.25*y O2 ,1 LiMn2-yMyO4 + 0.5 CO2; M = Ni
148,0.333*y Co3O4 + 0.5 Li2CO3 + 1-0.5*y Mn2O3 + 0.25+0.083*y O2 ,1 LiMn2-yMyO4 + 0.5 CO2; M = Co
149,0.5+0.5*y Li2CO3 + 1-0.5*y Mn2O3 + 0.25+0.5*y O2 ,1 LiMn2-yMyO4 + 0.5+0.5*y CO2; M = Li
150,0.5 Li2CO3 + 1-0.5*y Mn2O3 + 0.25-0.25*y O2 + y TiO2 ,1 LiMn2-yMyO4 + 0.5 CO2; M = Ti
151,0.5*y Al2O3 + 0.5+0.5*z Li2CO3 + 1-0.5*y-0.5*z Mn2O3 + 0.25+0.5*z O2 ,1 LiMn2-y-zMyLizO4 + 0.5+0.5*z CO2; M = Al
152,0.5+0.5*z Li2CO3 + 1-0.5*y-0.5*z Mn2O3 + y NiO + 0.25+0.5*z+0.25*y O2 ,1 LiMn2-y-zMyLizO4 + 0.5+0.5*z CO2; M = Ni
153,0.333*y Co3O4 + 0.5+0.5*z Li2CO3 + 1-0.5*y-0.5*z Mn2O3 + 0.25+0.5*z+0.083*y O2 ,1 LiMn2-y-zMyLizO4 + 0.5+0.5*z CO2; M = Co
154,0.5+0.5*y+0.5*z Li2CO3 + 1-0.5*y-0.5*z Mn2O3 + 0.25+0.5*y+0.5*z O2 ,1 LiMn2-y-zMyLizO4 + 0.5+0.5*y+0.5*z CO2; M = Li
155,0.5+0.5*z Li2CO3 + 1-0.5*y-0.5*z Mn2O3 + 0.25+0.5*z-0.25*y O2 + y TiO2 ,1 LiMn2-y-zMyLizO4 + 0.5+0.5*z CO2; M = Ti
156,2 Fe2O3 + 1.5 Mn2O3 + 3 V2O5 ,1 Mn3Fe4(VO4)6 + 0.75 O2
157,1 BaCO3 + 0.1 CaCO3 + 2 Co(NO3)2\u00b76H2O + 0.525 O2 + 0.45 Y2O3 + 4 [OH-] ,1 (Y0.9Ca0.1)BaCo2O5.5 + 1.1 CO2 + 14 H2O + 4 [NO3-]
158,10 CaCO3 + 1.278 HOC(COOH)(CH2COOH)2 + 0.5 Y2O3 ,1 YCa10 + 17.667 CO2 + 5.111 H2O
159,0.9 BaCO3 + 0.1 CaCO3 + 2 Co(NO3)2\u00b76H2O + 0.5 O2 + 0.5 Y2O3 + 4 [OH-] ,1 Y(Ba0.9Ca0.1)Co2O5.5 + 1 CO2 + 14 H2O + 4 [NO3-]
160,1 BaCO3 + 10 CaCO3 + 1.222 HOC(COOH)(CH2COOH)2 ,1 BaCa10 + 18.333 CO2 + 4.889 H2O
161,0.704 Na0.71VO2 + 0.296 VO2 ,1 Na1/2VO2
162,1.408 Na0.71VO2 + 0.5 O2 + -0.408 VO2 ,1 NaVO3
163,4 H3PO4 + 3 Zr(NO3)4 + 12 [OH-] ,1 Zr3(PO4)4 + 12 H2O + 12 [NO3-]
164,3 BaCO3 + 2 GeO2 + 6 H3BO3 ,1 Ba3Ge2B6O16 + 3 CO2 + 9 H2O
165,0.5-0.5*x Ga2O3 + 1-x NH3 + x ZnO ,1 (GaN)1-x(ZnO)x + 1.5-1.5*x H2O
166,3 (NH4)2HPO4 + 4.5 SrCO3 + 0.5 SrCl2 ,"1 Sr5(PO4)3Cl + 4.5 CO2 + 4.5 H2O + 6 NH3 ; target Sr5(PO4)3Cl with additives Eu via Eu(NO3)3, Eu2O3 ; target Sr5(PO4)3Cl with additives Eu via Eu(NO3)3, Eu2O3, N2H4\u00b7H2O"
167,1 Li2CO3 + 1 MnCO3 + 0.5 O2 ,1 Li2MnO3 + 2 CO2
168,0.6 (CH3COO)2Mn\u00b74H2O + 0.2 (CH3COO)2Ni\u00b74H2O + 1.2 CH3COOLi\u00b72H2O + 0.3 O2 + 2.8 [OH-] ,1 Li1.2Ni0.2Mn0.6O2 + 7 H2O + 2.8 [CH3COO-]
169,1 MnO + 1 TiO2 ,1 MnMO3; M = Ti
170,1 MnO + 1 SnO2 ,1 MnMO3; M = Sn
171,1 MnO + 1 TiO2 ,1 MnTiO3
172,1 MnO + 1 SnO2 ,1 MnSnO3
173,0.5 Sb2O3 + 4 SeO2 + 0.5 V2O5 ,1 VSb(SeO3)4
174,1.155 Al2O3 + 0.267 AlN + 0.268 MgO ,1 Mg0.268Al2.577O3.733N0.267
175,2 Fe(OH)3 + 1 Ti(OH)4 ,1 Fe2TiO5 + 5 H2O
176,1 PbO2 + 1 ZnO ,1 PbZnO3
177,0.5 Cs2CO3 + 0.5 La2O3 + 1 Nb2O5 ,1 ALaNb2O7 + 0.5 CO2; A = Cs
178,0.5 K2CO3 + 0.5 La2O3 + 1 Nb2O5 ,1 ALaNb2O7 + 0.5 CO2; A = K
179,0.5 La2O3 + 1 Nb2O5 + 0.5 Rb2CO3 ,1 ALaNb2O7 + 0.5 CO2; A = Rb
180,2 CaCO3 + 1.5 Nb2O5 + 0.5 Rb2CO3 ,1 RbCa2Nb3O10 + 2.5 CO2
181,0.5 La2O3 + 1 LiNO3 + 1 Nb2O5 + 1 [OH-] ,1 LiLaNb2O7 + 0.5 H2O + 1 [NO3-]
182,0.5 La2O3 + 1 NaNO3 + 1 Nb2O5 + 1 [OH-] ,1 NaLaNb2O7 + 0.5 H2O + 1 [NO3-]
183,2 Al(NO3)3\u00b79H2O + 1 Ca(NO3)2\u00b74H2O + 8 [OH-] ,1 CaAl2O4 + 26 H2O + 8 [NO3-]
184,2 Al(NO3)3\u00b79H2O + 3 Ca(NO3)2\u00b74H2O + 12 [OH-] ,1 Ca3Al2O6 + 36 H2O + 12 [NO3-]
185,1.5 K2CO3 + 2.5 V2O5 ,1 K3V5O14 + 1.5 CO2
186,0.5 K2CO3 + 1.5 V2O5 ,1 KV3O8 + 0.5 CO2
187,0.5 Cs2CO3 + 1.5 V2O5 ,1 CsV3O8 + 0.5 CO2
188,1 Cs2CO3 + 2 V2O5 ,1 Cs2V4O11 + 1 CO2
189,1 HCa2Nam-3NbmO3m+1\u00b7H2O + 0.25 O2 ,1 Ca2Nam-3NbmO3m+1 + 1.5 H2O
190,0.5 Cu2S + 0.5 Ga2S3 ,1 CuGaS2
191,0.5 Cu2S + 0.5 In2S3 ,1 CuInS2
192,1 Cu2S + 1 SnS2 + 1 ZnS ,1 Cu2ZnSnS4
193,0.225 K2CO3 + 1 MnO2 ,1 K0.45MnO2 + 0.225 CO2 + 0.112 O2
194,1 O2 + 2 SnO2 + 1 Y2CO3\u00b73H2O ,1 Y2Sn2O7 + 1 CO2 + 3 H2O
195,0.335 Cs2CO3 + 0.002 O2 + 1.83 TiO2 ,1 Cs0.67Ti1.83O4 + 0.335 CO2
196,0.5 Ga2O3 + 0.5 La2O3 ,1 LaGaO3
197,0.5 Ga2S3 + 0.5 La2O2S ,1 LaGaS2O
198,0.5 Ga2S3 + 0.5 La2O2S + 1 La2S3 ,1 La3GaS5O
199,0.4 Fe2O3 + 0.4 K2CO3 + 1.2 TiO2 ,1 K0.8Fe0.8Ti1.2O4 + 0.4 CO2
200,0.35 Cs2CO3 + 1.825 TiO2 ,1 Cs0.7Ti1.825O4 + 0.35 CO2
201,9 Fe2O3 + 18 LiOH + 18 NH4H2PO4 ,1 Li3Fe3(PO4)3 + 36 H2O + 18 NH3 + 4.5 O2
202,1-x Al(NO3)3\u00b79H2O + x Mn(NO3)2\u00b74H2O + 0.25*x O2 + 1 Y(NO3)3\u00b76H2O + 6-x [OH-] ,1 YAl1-xMxO3 + 18-5.5*x H2O + 6-x [NO3-]; M = Mn
203,1 Al(NO3)3\u00b79H2O + 1 Y(NO3)3\u00b76H2O + 6 [OH-] ,1 YAl1-xMxO3 + 18 H2O + 6 [NO3-]; M = Al
204,1-x Al(NO3)3\u00b79H2O + x Fe(NO3)3\u00b79H2O + 1 Y(NO3)3\u00b76H2O + 6 [OH-] ,1 YAl1-xMxO3 + 18 H2O + 6 [NO3-]; M = Fe
